kernel,module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
naive_rmsnorm,RMSNorm,4,512,1024,4096,0.0225,0.0164,0.0737,0.0162,200,float16
fused_rmsnorm_linear,RMSNormLinear,4,512,1024,4096,0.4443,0.4184,0.4882,0.4168,200,float16
naive_rmsnorm,RMSNorm,4,2048,1024,4096,0.0584,0.0553,0.0655,0.0543,200,float16
fused_rmsnorm_linear,RMSNormLinear,4,2048,1024,4096,1.6944,1.6741,1.7245,1.6574,200,float16
naive_rmsnorm,RMSNorm,8,1024,1024,4096,0.0593,0.0553,0.0686,0.0543,200,float16
fused_rmsnorm_linear,RMSNormLinear,8,1024,1024,4096,1.6937,1.6803,1.7277,1.6636,200,float16
naive_rmsnorm,RMSNorm,1,128,2048,8192,0.0491,0.0135,0.053,0.0051,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,128,2048,8192,0.1951,0.1525,0.212,0.1362,200,float16
naive_rmsnorm,RMSNorm,1,256,2048,8192,0.0297,0.0078,0.0635,0.0072,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,256,2048,8192,0.2468,0.223,0.2638,0.2171,200,float16
naive_rmsnorm,RMSNorm,1,512,2048,8192,0.0266,0.0136,0.0295,0.0092,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,512,2048,8192,0.434,0.4166,0.4783,0.4157,200,float16
naive_rmsnorm,RMSNorm,1,2048,2048,8192,0.0263,0.0256,0.0698,0.0253,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,2048,2048,8192,1.6159,1.6059,1.6525,1.5797,200,float16
naive_rmsnorm,RMSNorm,4,512,2048,8192,0.0256,0.0256,0.0265,0.0253,200,float16
fused_rmsnorm_linear,RMSNormLinear,4,512,2048,8192,1.6148,1.6062,1.6621,1.58,200,float16
naive_rmsnorm,RMSNorm,4,2048,2048,8192,0.2673,0.2593,0.2786,0.258,200,float16
fused_rmsnorm_linear,RMSNormLinear,4,2048,2048,8192,6.7927,6.3887,7.0067,6.352,200,float16
naive_rmsnorm,RMSNorm,8,1024,2048,8192,0.2642,0.2596,0.2786,0.2567,200,float16
fused_rmsnorm_linear,RMSNormLinear,8,1024,2048,8192,6.8064,6.3887,7.0476,6.3781,200,float16
naive_rmsnorm,RMSNorm,1,128,4096,11008,0.0536,0.0072,0.0754,0.0072,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,128,4096,11008,0.4377,0.4164,0.4762,0.4085,200,float16
naive_rmsnorm,RMSNorm,1,256,4096,11008,0.0123,0.0123,0.0644,0.0119,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,256,4096,11008,0.6103,0.5873,0.6322,0.5798,200,float16
naive_rmsnorm,RMSNorm,1,512,4096,11008,0.0174,0.0164,0.0482,0.0162,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,512,4096,11008,1.105,1.0926,1.1756,1.0742,200,float16
naive_rmsnorm,RMSNorm,1,2048,4096,11008,0.0625,0.0584,0.0702,0.0553,200,float16
fused_rmsnorm_linear,RMSNormLinear,1,2048,4096,11008,4.311,4.2742,4.766,4.2516,200,float16
naive_rmsnorm,RMSNorm,4,512,4096,11008,0.061,0.0584,0.0655,0.0522,200,float16
fused_rmsnorm_linear,RMSNormLinear,4,512,4096,11008,4.3141,4.2732,4.7411,4.2701,200,float16
naive_rmsnorm,RMSNorm,4,2048,4096,11008,0.5335,0.5148,0.5608,0.4943,200,float16
fused_rmsnorm_linear,RMSNormLinear,4,2048,4096,11008,16.6042,16.5702,17.863,16.5458,200,float16
naive_rmsnorm,RMSNorm,8,1024,4096,11008,0.5335,0.514,0.5716,0.5048,200,float16
fused_rmsnorm_linear,RMSNormLinear,8,1024,4096,11008,16.6077,16.5699,17.9337,16.5446,200,float16
naive_rmsnorm,RMSNorm,1,128,1024,4096,0.0281,0.0041,0.035,0.0041,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,128,1024,4096,0.0594,0.0499,0.0635,0.0338,200,bfloat16
naive_rmsnorm,RMSNorm,1,256,1024,4096,0.0239,0.0113,0.0666,0.0051,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,256,1024,4096,0.0829,0.0725,0.0891,0.0594,200,bfloat16
naive_rmsnorm,RMSNorm,1,512,1024,4096,0.0245,0.011,0.0318,0.0069,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,512,1024,4096,0.1361,0.1228,0.1639,0.1106,200,bfloat16
naive_rmsnorm,RMSNorm,1,2048,1024,4096,0.0225,0.0171,0.043,0.0163,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,2048,1024,4096,0.476,0.4413,0.5107,0.4177,200,bfloat16
naive_rmsnorm,RMSNorm,4,512,1024,4096,0.0225,0.0164,0.0655,0.0162,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,4,512,1024,4096,0.4454,0.4412,0.4844,0.4173,200,bfloat16
naive_rmsnorm,RMSNorm,4,2048,1024,4096,0.0572,0.0553,0.0627,0.0543,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,4,2048,1024,4096,1.6837,1.6671,1.7235,1.6579,200,bfloat16
naive_rmsnorm,RMSNorm,8,1024,1024,4096,0.0573,0.0553,0.0635,0.0543,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,8,1024,1024,4096,1.6736,1.6589,1.704,1.6545,200,bfloat16
naive_rmsnorm,RMSNorm,1,128,2048,8192,0.0139,0.0058,0.0515,0.0051,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,128,2048,8192,0.1628,0.1475,0.1751,0.1331,200,bfloat16
naive_rmsnorm,RMSNorm,1,256,2048,8192,0.0253,0.0085,0.0425,0.0072,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,256,2048,8192,0.2568,0.2239,0.2835,0.2161,200,bfloat16
naive_rmsnorm,RMSNorm,1,512,2048,8192,0.0532,0.0184,0.0709,0.0092,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,512,2048,8192,0.4456,0.4173,0.474,0.4157,200,bfloat16
naive_rmsnorm,RMSNorm,1,2048,2048,8192,0.0265,0.0256,0.0266,0.0256,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,1,2048,2048,8192,1.6051,1.5892,1.6303,1.579,200,bfloat16
naive_rmsnorm,RMSNorm,4,512,2048,8192,0.0266,0.0256,0.0273,0.0256,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,4,512,2048,8192,1.6036,1.59,1.6654,1.579,200,bfloat16
naive_rmsnorm,RMSNorm,4,2048,2048,8192,0.2672,0.2591,0.2724,0.2509,200,bfloat16
fused_rmsnorm_linear,RMSNormLinear,4,2048,2048,8192,6.8183,6.4076,7.0262,6.3754,200,bfloat16
naive_rmsnorm,RMSNorm,8,1024,2048,8192,0.2642,0.2591,0.2725,0.2243,200,bfloat16
