module,batch,seq_len,hidden,intermediate,median_ms,p10_ms,p90_ms,min_ms,n_iters,dtype
RMSNorm,1,128,1024,4096,0.0748,0.0624,0.101,0.0164,200,float16
RMSNormLinear,1,128,1024,4096,0.1188,0.1096,0.1321,0.1024,200,float16
RMSNormMLP,1,128,1024,4096,0.158,0.1472,0.1709,0.1101,200,float16
RMSNorm,1,256,1024,4096,0.0673,0.0645,0.086,0.0572,200,float16
RMSNormLinear,1,256,1024,4096,0.1453,0.1321,0.1682,0.0727,200,float16
RMSNormMLP,1,256,1024,4096,0.2079,0.1987,0.2182,0.1311,200,float16
RMSNorm,1,512,1024,4096,0.0779,0.0676,0.2355,0.0233,200,float16
RMSNormLinear,1,512,1024,4096,0.2017,0.1853,0.2477,0.1485,200,float16
RMSNormMLP,1,512,1024,4096,0.3151,0.3019,0.335,0.2393,200,float16
RMSNorm,1,2048,1024,4096,0.097,0.0778,0.1024,0.048,200,float16
RMSNormLinear,1,2048,1024,4096,0.5074,0.4936,0.547,0.4669,200,float16
RMSNormMLP,1,2048,1024,4096,1.028,1.0086,1.0642,0.9954,200,float16
RMSNorm,4,512,1024,4096,0.0991,0.0717,0.2696,0.0431,200,float16
RMSNormLinear,4,512,1024,4096,0.5028,0.4894,0.5866,0.4472,200,float16
RMSNormMLP,4,512,1024,4096,1.0439,1.0095,1.2144,0.9971,200,float16
RMSNorm,4,2048,1024,4096,0.2778,0.2611,0.3133,0.258,200,float16
RMSNormLinear,4,2048,1024,4096,1.848,1.8247,1.8647,1.7869,200,float16
RMSNormMLP,4,2048,1024,4096,3.906,3.8866,3.9426,3.8523,200,float16
RMSNorm,8,1024,1024,4096,0.2749,0.261,0.3069,0.2579,200,float16
RMSNormLinear,8,1024,1024,4096,1.8473,1.8299,1.8802,1.8123,200,float16
RMSNormMLP,8,1024,1024,4096,3.9024,3.8815,3.9385,3.8501,200,float16
RMSNorm,1,128,2048,8192,0.0733,0.0624,0.0983,0.0512,200,float16
RMSNormLinear,1,128,2048,8192,0.2294,0.2136,0.252,0.1761,200,float16
RMSNormMLP,1,128,2048,8192,0.4113,0.3971,0.4281,0.3461,200,float16
RMSNorm,1,256,2048,8192,0.0904,0.0692,0.243,0.0416,200,float16
RMSNormLinear,1,256,2048,8192,0.2967,0.2877,0.3211,0.2519,200,float16
RMSNormMLP,1,256,2048,8192,0.5304,0.513,0.5531,0.4671,200,float16
RMSNorm,1,512,2048,8192,0.0756,0.0645,0.2239,0.0297,200,float16
RMSNormLinear,1,512,2048,8192,0.4924,0.4819,0.5171,0.4372,200,float16
RMSNormMLP,1,512,2048,8192,0.9149,0.902,0.9646,0.8537,200,float16
RMSNorm,1,2048,2048,8192,0.0928,0.0836,0.1187,0.0733,200,float16
RMSNormLinear,1,2048,2048,8192,1.6978,1.6682,1.7943,1.6425,200,float16
RMSNormMLP,1,2048,2048,8192,3.5092,3.4753,3.6538,3.4279,200,float16
RMSNorm,4,512,2048,8192,0.0981,0.0888,0.122,0.0831,200,float16
RMSNormLinear,4,512,2048,8192,1.6967,1.6815,1.7545,1.6507,200,float16
RMSNormMLP,4,512,2048,8192,3.5133,3.4723,3.6689,3.4428,200,float16
RMSNorm,4,2048,2048,8192,0.8837,0.8571,0.9176,0.8476,200,float16
RMSNormLinear,4,2048,2048,8192,7.0287,7.0021,7.0758,6.9704,200,float16
RMSNormMLP,4,2048,2048,8192,14.1087,14.0421,14.2279,13.9895,200,float16
RMSNorm,8,1024,2048,8192,0.8776,0.854,0.9029,0.8479,200,float16
RMSNormLinear,8,1024,2048,8192,7.0246,7.0029,7.0722,6.9721,200,float16
RMSNormMLP,8,1024,2048,8192,14.11,14.049,14.2037,13.9939,200,float16
RMSNorm,1,128,4096,11008,0.0768,0.0666,0.0934,0.0236,200,float16
RMSNormLinear,1,128,4096,11008,0.5041,0.4849,0.5446,0.4332,200,float16
RMSNormMLP,1,128,4096,11008,0.9334,0.8991,1.0451,0.8773,200,float16
RMSNorm,1,256,4096,11008,0.1943,0.0704,0.2108,0.0532,200,float16
RMSNormLinear,1,256,4096,11008,0.6632,0.6541,0.6882,0.6492,200,float16
RMSNormMLP,1,256,4096,11008,1.2675,1.2441,1.3357,1.1776,200,float16
RMSNorm,1,512,4096,11008,0.0788,0.0666,0.122,0.0451,200,float16
RMSNormLinear,1,512,4096,11008,1.1735,1.1561,1.3331,1.1264,200,float16
RMSNormMLP,1,512,4096,11008,2.2907,2.2559,2.4382,2.219,200,float16
RMSNorm,1,2048,4096,11008,0.2712,0.259,0.2834,0.2547,200,float16
RMSNormLinear,1,2048,4096,11008,4.4224,4.3937,4.5204,4.3602,200,float16
RMSNormMLP,1,2048,4096,11008,8.8852,8.8484,8.9961,8.838,200,float16
RMSNorm,4,512,4096,11008,0.2847,0.2703,0.2998,0.257,200,float16
